,,Population,No schooling,Primary school,Junior high school,Senior high school,Some college,Master and higher
城市,City,5234499,72704,567774,1248892,1395511,1841136,108482
城镇,Town,2000253,34300,285131,584180,533401,552132,11109
乡村,Village,8412520,249046,1729819,3532502,1931570,961953,7630
