case,home,residence,home_locals,migrants,residence_locals
1,Anhui,Anhui,639.6624,1327.569,639.6624
9,Chongqing,Chongqing,560.5446,1221.429,560.5446
17,Guangdong,Guangdong,819.0377,1908.12,819.0377
32,Henan,Henan,502.8247,1079.689,502.8247
42,Hubei,Hubei,585.8318,1174.911,585.8318
52,Jiangsu,Jiangsu,961.0488,1554.952,961.0488
56,Shanghai,Shanghai,1790.372,2000,1790.372
64,Sichuan,Sichuan,601.7749,1469.025,601.7749
73,Zhejiang,Zhejiang,1049.245,1703.935,1049.245
,,,0,0,0
,,,2000,2000,2000
