Male,Female,Age
1483165,1195266,0-4?
1391842,1056822,5-9?
1095687,834400,10-14?
3473528,3093141,15-19?
8920345,7764373,20-24?
7146618,5768953,25-29?
6166244,4623538,30-34?
6394859,4610406,35-39?
5346322,3851474,40-44?
3260014,2151797,45-49?
1460587,865585,50-54?
1079406,751271,55-59?
540618,416664,60-64?
268482,232097,65-69?
172720,151649,70-74?
91114,81699,75-79?
39725,40039,80-84?
14856,18082,85-89?
6681,7590,90-94?
4517,3705,95-99?
165,291,100????
64008573,63403945,
