,,国家机关、党群组织、企业、事业单位负责人,专业技术人员,办事人员和有关人员,商业、服务业人员,农、林、牧、渔、水利业生产人员,生产、运输设备操作人员及有关人员,国家机关、党群组织、企业、事业单位负责人,专业技术人员,办事人员和有关人员,商业、服务业人员,农、林、牧、渔、水利业生产人员,生产、运输设备操作人员及有关人员,国家机关、党群组织、企业、事业单位负责人,专业技术人员,办事人员和有关人员,商业、服务业人员,农、林、牧、渔、水利业生产人员,生产、运输设备操作人员及有关人员
,,,,,,,,,,,,,,15003,38544,26435,67943,61232,127815
,,,,,,,,,,,,,,50337,105881,85748,226275,1218538,568317
,,,,,,,,,,,,,,22363,61754,59385,144316,464188,302686
,,,,,,,,,,,,,,15781,48759,41488,99686,346816,203754
,,,,,,,,,,,,,,36149,96286,82736,196408,549453,378112
,,,,,,,,,,,,,,13121,49576,38682,102463,460482,141345
,,,,,,,,,,,,,,22475,67712,50412,138410,569691,233841
,,,,,,,,,,,,,,47768,92929,105426,173397,19196,294552
,,,,,,,,,,,,,,93082,176724,153496,457381,453606,1071219
,,,,,,,,,,,,,,84460,111587,133579,343896,286365,913436
,,,,,,,,,,,,,,40331,88197,59917,198322,754374,436304
,,,,,,,,,,,,,,38226,72960,70998,207160,301244,427209
,,,,,,,,,,,,,,23478,66783,56786,164046,507367,427415
,,,,,,,,,,,,,,69718,169338,120504,388399,1526728,783418
,,,,,,,,,,,,,,31882,122770,93870,280781,1615321,516209
,,,,,,,,,,,,,,29148,101942,76474,239520,801126,400791
,,,,,,,,,,,,,,27726,94930,75682,265269,993103,431647
,,,,,,,,,,,,,,112346,196891,242722,600778,702061,1238026
,,,,,,,,,,,,,,15080,58376,46849,138986,841193,202922
,,,,,,,,,,,,,,4006,12930,12870,35023,133540,37737
,,,,,,,,,,,,,,17447,48525,37410,106286,337780,196285
,,,,,,,,,,,,,,34477,122711,95424,309330,1388061,547646
,,,,,,,,,,,,,,12425,44998,34944,77578,583071,155916
,,,,,,,,,,,,,,16635,63809,50681,121673,934799,245566
,,,,,,,,,,,,,,1056,4317,3563,7724,57396,5417
,,,,,,,,,,,,,,20392,73629,52053,144390,564743,258786
,,,,,,,,,,,,,,10628,42426,26891,66843,510313,100736
,,,,,,,,,,,,,,4069,11052,7366,19295,86436,33691
,,,,,,,,,,,,,,4200,12187,9626,22892,82765,51727
,,,,,,,,,,,,,,14499,39192,29696,77295,372367,101395
,,,,,,,,,,,,,,318855,2499925,1020685,5987993,17011141,5086039
,,,,,,,,,,,,,,7556,106024,60335,167823,25860,42768
,,,,,,,,,,,,,,5204,39138,14191,52312,52512,48874
,,,,,,,,,,,,,,13050,127180,39543,216051,1163617,187162
,,,,,,,,,,,,,,5684,74698,28774,133192,382125,48780
,,,,,,,,,,,,,,4817,53165,20617,111403,295615,41246
,,,,,,,,,,,,,,13433,113625,36429,249745,489091,102077
,,,,,,,,,,,,,,5035,56712,16322,122407,387043,34664
,,,,,,,,,,,,,,8137,73569,20661,168113,456327,57007
,,,,,,,,,,,,,,18202,95226,63205,183977,18651,138183
,,,,,,,,,,,,,,27631,182103,70821,526245,570203,700569
,,,,,,,,,,,,,,26274,142787,63406,367612,204773,601384
,,,,,,,,,,,,,,12206,76493,25388,216616,813221,173159
,,,,,,,,,,,,,,11841,75560,34661,201392,256280,248755
