,,Population,No schooling,Primary school,Junior high school,Senior high school,Some college,Master and higher
城市,City,786924,6389,64981,175936,168324,346283,25011
城镇,Town,615041,6392,71495,214133,143104,173187,6730
乡村,Village,6197351,111468,1234285,3530222,957538,357333,6505
